ride_id,timestamp,pickup_zone,dropoff_zone,trip_distance_km,surge_multiplier,fare_amount,pred_eta_min,actual_eta_min
b_0,2025-09-01 00:00:00,Z008,Z013,6.5024603067149656,1.2427911797287443,52.157697831049134,10.886407043296654,15.677070457457651
b_1,2025-09-01 00:01:00,Z006,Z026,7.09749107501694,1.1545751852788808,57.68167377523831,12.747489507825208,13.335808968429818
b_2,2025-09-01 00:02:00,Z003,Z007,5.951724289275565,1.121012481410299,50.45624379896477,11.581272938933942,13.733485402616768
b_3,2025-09-01 00:03:00,Z006,Z026,4.718816322485452,1.011988152821854,61.3028532368518,8.73662761344924,12.919373480256363
b_4,2025-09-01 00:04:00,Z028,Z030,5.590658429656555,1.0,57.591037330510254,9.733623075584454,10.248495573211455
b_5,2025-09-01 00:05:00,Z001,Z015,4.516706890007075,1.0128789361403905,50.648384770909786,8.537652007972943,9.19927177643128
b_6,2025-09-01 00:06:00,Z014,Z005,6.620287205194877,1.0625997220647647,51.3378395265445,11.527984842247351,12.90060422474034
b_7,2025-09-01 00:07:00,Z014,Z032,9.180430491109068,1.1385851915488978,69.07014306375937,13.206323002952544,16.485979168531163
b_8,2025-09-01 00:08:00,Z038,Z003,5.51558696289734,1.121268792420054,56.11942962252975,10.71091388286415,12.694713827972599
b_9,2025-09-01 00:09:00,Z025,Z009,5.259050200360119,1.0063196808522443,49.30267864962872,7.8858203813499985,11.191297409301917
b_10,2025-09-01 00:10:00,Z038,Z035,7.479684100370396,1.063222244497923,56.82780767034491,13.298264465032876,13.876199083567748
b_11,2025-09-01 00:11:00,Z002,Z006,7.213774016320121,1.1159635866636577,50.60656752831138,11.39596445453249,13.119983495930743
b_12,2025-09-01 00:12:00,Z019,Z039,6.710828497995797,1.0,56.22959834761138,11.720124101470363,12.52255842370096
b_13,2025-09-01 00:13:00,Z020,Z002,4.639063910583591,1.0,54.524858427817975,9.038591185548404,12.09511186363616
b_14,2025-09-01 00:14:00,Z013,Z009,6.441496355073453,1.0,60.99615000480669,10.418248152491254,12.952413327917924
b_15,2025-09-01 00:15:00,Z006,Z037,7.890606388916575,1.02142073430312,63.43490352209013,12.564655908622505,13.852314486831986
b_16,2025-09-01 00:16:00,Z039,Z030,3.811570905429836,1.0105570119111724,51.65724108817423,9.254927342416966,8.82825687859967
b_17,2025-09-01 00:17:00,Z032,Z021,5.584768477919564,1.0132921108665678,49.94893028023721,9.823761759434156,11.50869859825813
b_18,2025-09-01 00:18:00,Z020,Z038,2.697554520398312,1.0,41.32843540643754,7.275012889788283,6.847361640667772
b_19,2025-09-01 00:19:00,Z002,Z023,3.920924520430048,1.1652098339530752,53.98641828754181,9.2145306791963,10.980584224602687
b_20,2025-09-01 00:20:00,Z035,Z003,2.8165299244165354,1.0982453928841311,46.517060300291895,6.66453629002771,9.953288859996976
b_21,2025-09-01 00:21:00,Z000,Z026,6.029817737850637,1.0,50.29409464577065,8.91245246033418,11.252364515124052
b_22,2025-09-01 00:22:00,Z024,Z030,3.9651070371125936,1.0556185269825125,50.451073849993136,8.963578196150864,9.938668231845512
b_23,2025-09-01 00:23:00,Z026,Z004,7.042528717643403,1.0,62.01770434352019,10.667710022191185,13.88861526999805
b_24,2025-09-01 00:24:00,Z014,Z030,6.81350217324845,1.3600926099348285,60.64062860765581,9.211811365805577,15.333455587691015
b_25,2025-09-01 00:25:00,Z014,Z035,6.126138110740091,1.0,55.30895629103407,9.699470635720722,12.233622302877205
b_26,2025-09-01 00:26:00,Z026,Z038,1.4664805783589738,1.0,37.14102391119575,5.85223496163033,7.236222465013069
b_27,2025-09-01 00:27:00,Z036,Z039,5.422614208306727,1.0670472454528814,54.57753014536576,8.687150310043794,10.966246074760488
b_28,2025-09-01 00:28:00,Z033,Z035,6.402998109197856,1.02259482592061,64.47514437577438,9.270234414215038,12.231478860877829
b_29,2025-09-01 00:29:00,Z015,Z009,6.726617972006615,1.044588743531724,57.43185842026245,11.090594001750759,13.068078895401404
b_30,2025-09-01 00:30:00,Z002,Z014,3.439728468989213,1.3291110158005093,42.65947976129005,8.993004878818038,14.951905917338312
b_31,2025-09-01 00:31:00,Z031,Z009,5.544493447932139,1.0901824980819046,54.6502139787136,9.756912025178467,14.295174702195869
b_32,2025-09-01 00:32:00,Z009,Z031,4.5429618438867205,1.194482152452849,43.24277619325218,8.345069629989203,11.956784375653024
b_33,2025-09-01 00:33:00,Z019,Z034,4.882325521148801,1.248045038709125,51.95457179484891,9.779086777781828,12.247238256508219
b_34,2025-09-01 00:34:00,Z033,Z012,8.621797246772157,1.0,61.16265550927697,13.476853329289327,14.069955190846784
b_35,2025-09-01 00:35:00,Z019,Z020,4.884930649336207,1.3578777056180673,55.760240000373045,9.09642698591411,10.400805358850201
b_36,2025-09-01 00:36:00,Z014,Z021,6.434956590108959,1.1685919287254132,56.26177109882405,11.336128739018957,14.821751426007065
b_37,2025-09-01 00:37:00,Z015,Z007,8.268779734766348,1.2167230172375894,67.06557352156338,13.484777237872667,15.94169840048262
b_38,2025-09-01 00:38:00,Z037,Z004,5.332799134513396,1.0,64.18856706374387,9.592562784853731,14.015350725659122
b_39,2025-09-01 00:39:00,Z027,Z038,6.27659610083168,1.1915261066462668,54.07917062677504,9.835420948766942,13.539334115097553
b_40,2025-09-01 00:40:00,Z019,Z030,6.720928286498961,1.1214996665559696,52.28379313057776,11.396486056364575,14.870537339315346
b_41,2025-09-01 00:41:00,Z001,Z033,6.627563548510124,1.0,58.731445563034576,11.21235293462196,14.120362104843299
b_42,2025-09-01 00:42:00,Z006,Z038,4.049888347164613,1.4845646598744728,47.6283042756145,9.74371228086256,11.644569874337273
b_43,2025-09-01 00:43:00,Z032,Z014,6.6522804607540165,1.1476675600306274,57.152390690008055,9.70247163587327,14.531265330472094
b_44,2025-09-01 00:44:00,Z028,Z001,9.217646843483076,1.0169661139497908,61.48235452826211,12.634269228779221,18.6764293485825
b_45,2025-09-01 00:45:00,Z026,Z025,3.405710643743036,1.0852939593249618,48.917864270779134,7.2269726186530585,9.314479515106637
b_46,2025-09-01 00:46:00,Z031,Z008,8.218765376043196,1.2084127737232746,61.7843560250695,10.662873992206025,15.529274545221906
b_47,2025-09-01 00:47:00,Z029,Z029,6.7387080513931625,1.248983780965473,45.43270626367384,11.191271801450842,13.070825725998043
b_48,2025-09-01 00:48:00,Z032,Z009,5.217059211785557,1.1503444086806236,50.58394098631933,10.223157503102527,12.243683026052455
b_49,2025-09-01 00:49:00,Z004,Z014,10.500833092684848,1.2654382483608937,70.46005120948286,13.711959751940556,19.27818896461051
b_50,2025-09-01 00:50:00,Z028,Z034,8.024519424169423,1.314392741895504,66.93259824026659,13.60771455624864,15.740215201057044
b_51,2025-09-01 00:51:00,Z028,Z023,4.101422195789553,1.0,45.23682882598192,9.513204312871034,8.041366386248827
b_52,2025-09-01 00:52:00,Z023,Z010,6.649032457542927,1.0,52.21833864492741,11.611505690624169,12.945226406523522
